all_taxa	xyl1.1	xyl1.2	xyl1.3	xyl1.4	xyl1.5	xyl1.6	xyl2.1	xyl2.2	xyl2.3	xyl2.4	xyl2.5	xyl2.6	xyl3.1	xyl3.2	xyl3.3	xyl3.4	xyl3.5	xyl3.6
peterozyma xylosa	0.285511111111111	0.919111111111111	0.634666666666667	NA	NA	NA	0.738311111111111	NA	NA	NA	NA	NA	0.286933333333333	NA	NA	NA	NA	NA
barnettozyma californica	0.469850636179237	0.799373040752351	0.93029688364374	0.643555227733727	0.92328969205237	NA	0.855430573483312	NA	NA	NA	NA	NA	0.549695740365112	NA	NA	NA	NA	NA
ogataea pini	0.849368318756074	0.939164237123421	NA	NA	NA	NA	0.833236151603499	0.602915451895044	NA	NA	NA	NA	0.318561710398445	NA	NA	NA	NA	NA
lipomyces starkeyi	0.952592780884596	0.955134722928317	0.978266395526182	0.545882053889171	NA	NA	0.890315200813421	0.160523640061007	0.900737163192679	NA	NA	NA	0.422724961870869	NA	NA	NA	NA	NA
zygosaccharomyces rouxii	0.967444993264481	NA	NA	NA	NA	NA	0.801975752132914	NA	NA	NA	NA	NA	0.273911091154019	NA	NA	NA	NA	NA
kazachstania yakushimaensis	0.671706710853355	0.68102734051367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0575807787903894	NA	NA	NA	NA	NA
metschnikowia kamakouana	0.955628121398386	NA	NA	NA	NA	NA	0.934690741452171	NA	NA	NA	NA	NA	0.86611601997695	NA	NA	NA	NA	NA
candida schatavii	0.947566246946063	NA	NA	NA	NA	NA	0.911106934786694	0.352377372674309	NA	NA	NA	NA	0.584288667543695	NA	NA	NA	NA	NA
ogataea populiabae	0.649546244448735	0.65977988028577	NA	NA	NA	NA	0.700714423633906	0.37072793975671	0.908283452403939	NA	NA	NA	0.271867155821587	NA	NA	NA	NA	NA
barnettozyma hawaiiensis	0.943003144654088	0.719339622641509	0.938286163522013	NA	NA	NA	0.825275157232704	NA	NA	NA	NA	NA	0.309748427672956	NA	NA	NA	NA	NA
martiniozyma abiesophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
metschnikowia matae maris	0.818108326596605	0.966046887631366	0.613419563459984	NA	NA	NA	0.863055780113177	0.925788197251415	0.92287793047696	NA	NA	NA	0.76928051738076	NA	NA	NA	NA	NA
metschnikowia mauinuiana	0.964200913242009	NA	NA	NA	NA	NA	0.928219178082192	NA	NA	NA	NA	NA	0.858812785388128	NA	NA	NA	NA	NA
lachancea cidri	0.891121908127208	NA	NA	NA	NA	NA	0.805212014134276	NA	NA	NA	NA	NA	0.395097173144876	NA	NA	NA	NA	NA
sporopachydermia lactativora	0.897126121178839	0.885777045579352	0.80523521874428	0.932271645615962	NA	NA	0.841295991213619	0.944535969247666	NA	NA	NA	NA	0.907376899139667	NA	NA	NA	NA	NA
ambrosiozyma vanderkliftii	0.917981651376147	NA	NA	NA	NA	NA	0.930275229357798	NA	NA	NA	NA	NA	0.566605504587156	NA	NA	NA	NA	NA
kazachstania bromeliacearum	0.89887869520897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26605504587156	NA	NA	NA	NA	NA
cyberlindnera jadinii	0.826873857404022	0.912248628884826	NA	NA	NA	NA	0.644058500914077	NA	NA	NA	NA	NA	0.458683729433272	NA	NA	NA	NA	NA
cyberlindnera saturnus	0.954644351464435	0.52234309623431	0.916317991631799	NA	NA	NA	0.895062761506276	NA	NA	NA	NA	NA	0.644518828451883	NA	NA	NA	NA	NA
ogataea methanolica	0.88755676657584	0.600726612170754	0.94550408719346	0.966394187102634	NA	NA	0.937148047229791	NA	NA	NA	NA	NA	0.686285195277021	NA	NA	NA	NA	NA
hyphopichia heimii	0.906181015452539	0.977373068432671	NA	NA	NA	NA	0.883002207505519	0.820272259013981	NA	NA	NA	NA	0.832045621780721	NA	NA	NA	NA	NA
metschnikowia similis	0.921798631476051	0.96871945259042	0.967350928641251	NA	NA	NA	0.910654936461388	NA	NA	NA	NA	NA	0.665884652981427	0.183577712609971	NA	NA	NA	NA
blastobotrys americana	0.929605866177818	NA	NA	NA	NA	NA	0.770119156736939	NA	NA	NA	NA	NA	0.0973418881759853	NA	NA	NA	NA	NA
candida freyschussii	0.964495917979875	NA	NA	NA	NA	NA	0.834061135371179	NA	NA	NA	NA	NA	0.631668881716347	NA	NA	NA	NA	NA
metschnikowia drakensbergensis	0.923497267759563	NA	NA	NA	NA	NA	0.865279529213955	0.733291298865069	NA	NA	NA	NA	0.692728036990332	NA	NA	NA	NA	NA
kluyveromyces dobzhanskii	0.925263838035753	NA	NA	NA	NA	NA	0.762438078828344	NA	NA	NA	NA	NA	0.61231962093474	NA	NA	NA	NA	NA
kluyveromyces lactis	0.940792246101981	NA	NA	NA	NA	NA	0.819426885798567	NA	NA	NA	NA	NA	0.581331647703329	NA	NA	NA	NA	NA
nakaseomyces castellii	0.947061462539255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.617765814266487	NA	NA	NA	NA	NA
debaryomyces hansenii	0.644212523719165	0.941176470588235	NA	NA	NA	NA	0.836812144212524	NA	NA	NA	NA	NA	0.73719165085389	NA	NA	NA	NA	NA
spathaspora passalidarum	0.957788569293986	0.990847964138961	NA	NA	NA	NA	0.970489353754202	0.53063130369817	NA	NA	NA	NA	0.931453119163242	NA	NA	NA	NA	NA
lachancea meyersii	0.933022467147096	NA	NA	NA	NA	NA	0.673590504451039	NA	NA	NA	NA	NA	0.395718524798644	NA	NA	NA	NA	NA
wickerhamomyces hampshirensis	0.956295898262583	0.936593229446534	NA	NA	NA	NA	0.879097259537883	0.763567974207415	NA	NA	NA	NA	0.193444384739387	NA	NA	NA	NA	NA
cyberlindnera fabianii	0.807456772334294	0.919488472622478	NA	NA	NA	NA	0.735951008645533	NA	NA	NA	NA	NA	0.667507204610951	NA	NA	NA	NA	NA
meyerozyma caribbica	0.954280964256027	0.314630091438071	NA	NA	NA	NA	0.750207813798836	0.627389858686617	NA	NA	NA	NA	0.789900249376559	NA	NA	NA	NA	NA
metschnikowia bowlesiae	0.955094991364421	0.959700633275763	0.962962962962963	NA	NA	NA	0.945308002302821	NA	NA	NA	NA	NA	0.691421991940127	NA	NA	NA	NA	NA
saccharomycopsis malanga	0.955574762316335	0.945030250648228	NA	NA	NA	NA	0.849783923941227	0.529991356957649	NA	NA	NA	NA	0.318236819360415	NA	NA	NA	NA	NA
zygosaccharomyces bisporus	0.925582447410088	NA	NA	NA	NA	NA	0.956797104727437	NA	NA	NA	NA	NA	0.474779461660258	NA	NA	NA	NA	NA
candida gotoi	0.955350553505535	0.971771217712177	NA	NA	NA	NA	0.78339483394834	NA	NA	NA	NA	NA	0.799446494464945	NA	NA	NA	NA	NA
ambrosiozyma maleeae	0.89390923566879	NA	NA	NA	NA	NA	0.702627388535032	NA	NA	NA	NA	NA	0.159036624203822	NA	NA	NA	NA	NA
ogataea naganishii	0.962667703674898	0.621621621621622	0.971223021582734	NA	NA	NA	0.930390822477153	NA	NA	NA	NA	NA	0.70814699591678	NA	NA	NA	NA	NA
saturnispora silvae	0.860765329644998	NA	NA	NA	NA	NA	0.538035961272476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
barnettozyma populi	0.933434190620272	0.958774583963691	0.81089258698941	0.805030257186082	NA	NA	0.859682299546142	NA	NA	NA	NA	NA	0.367624810892587	NA	NA	NA	NA	NA
starmera amethionina	0.886814698369031	0.870308508547848	NA	NA	NA	NA	0.416388288465317	NA	NA	NA	NA	NA	0.163686382393398	NA	NA	NA	NA	NA
tetrapisispora namnaonensis	0.841789852177387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lachancea thermotolerans	0.919281540792036	NA	NA	NA	NA	NA	0.871456394719758	NA	NA	NA	NA	NA	0.644232850032461	NA	NA	NA	NA	NA
candida fructus	0.949579831932773	NA	NA	NA	NA	NA	0.877941176470588	NA	NA	NA	NA	NA	0.632142857142857	NA	NA	NA	NA	NA
kazachstania transvaalensis	0.887320684868117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0867653863951874	NA	NA	NA	NA	NA
saccharomycopsis capsularis	0.812364243943191	0.958563074352548	0.452798663324979	NA	NA	NA	0.641938178780284	0.102088554720134	NA	NA	NA	NA	0.637259816207185	NA	NA	NA	NA	NA
kazachstania kunashirensis	0.686926371609219	0.477666734652254	0.742810524168876	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.344482969610443	NA	NA	NA	NA	NA
dekkera bruxellensis	0.733152068362789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arxula adeninivorans	0.99612676056338	NA	NA	NA	NA	NA	0.333978873239437	0.547183098591549	0.950528169014085	NA	NA	NA	0.477640845070423	NA	NA	NA	NA	NA
kazachstania rosinii	0.858583820859391	NA	NA	NA	NA	NA	0.340125075650595	NA	NA	NA	NA	NA	0.438773451684487	NA	NA	NA	NA	NA
clavispora lusitaniae	0.927435610302352	NA	NA	NA	NA	NA	0.919372900335946	NA	NA	NA	NA	NA	0.607614781634938	NA	NA	NA	NA	NA
ambrosiozyma philentoma	0.935293202675377	0.772748483434438	NA	NA	NA	NA	0.933271115258983	NA	NA	NA	NA	NA	0.90231762326956	NA	NA	NA	NA	NA
metschnikowia cerradonensis	0.967413793103448	NA	NA	NA	NA	NA	0.948793103448276	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA
lachancea quebecensis	0.862494392104083	NA	NA	NA	NA	NA	0.837146702557201	NA	NA	NA	NA	NA	0.494840735755944	NA	NA	NA	NA	NA
kazachstania naganishii	0.886820393484239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33763486354982	NA	NA	NA	NA	NA
alloascoidea hylecoeti	0.898301000120496	0.941318231112182	0.856127244246295	0.779250512109893	0.932762983491987	0.977105675382576	0.973370285576575	0.992047234606579	NA	NA	NA	NA	0.83817327388842	NA	NA	NA	NA	NA
ogataea parapolymorpha	0.929535232383808	NA	NA	NA	NA	NA	0.637931034482759	0.696901549225387	NA	NA	NA	NA	0.322588705647176	NA	NA	NA	NA	NA
yamadazyma philogaea	0.978445460483344	NA	NA	NA	NA	NA	0.833224472022643	0.732201175702155	NA	NA	NA	NA	0.864141084258654	NA	NA	NA	NA	NA
cephaloascus fragrans	0.979018427294289	NA	NA	NA	NA	NA	0.680897646414888	NA	NA	NA	NA	NA	0.503740193395366	NA	NA	NA	NA	NA
lachancea waltii	0.811491712707182	NA	NA	NA	NA	NA	0.973480662983425	0.768839779005525	NA	NA	NA	NA	0.322430939226519	NA	NA	NA	NA	NA
ambrosiozyma ambrosiae	0.946242263483643	NA	NA	NA	NA	NA	0.93368700265252	NA	NA	NA	NA	NA	0.863837312113174	NA	NA	NA	NA	NA
candida intermedia	0.582086725998864	0.801174020071956	0.947169096761977	NA	NA	NA	0.81026320772581	NA	NA	NA	NA	NA	0.684150729028593	NA	NA	NA	NA	NA
cyberlindnera petersonii	0.979520295202952	0.968450184501845	NA	NA	NA	NA	0.818634686346863	NA	NA	NA	NA	NA	0.672693726937269	NA	NA	NA	NA	NA
cyberlindnera mrakii	0.0788677229837992	0.956204379562044	0.920954246038811	NA	NA	NA	0.888196546199039	NA	NA	NA	NA	NA	0.583229481929856	NA	NA	NA	NA	NA
kazachstania taianensis	0.931461601981833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0317919075144509	NA	NA	NA	NA	NA
