all_taxa	Growth.Rate
tetrapisispora iriomotensis	0
tetrapisispora namnaonensis	0
tetrapisispora phaffii	0
teunomyces cretensis	0.217685599
teunomyces kruisii	0.210634729
tortispora caseinolytica	1.51032555
torulaspora delbrueckii	0
torulaspora franciscae	0
torulaspora maleeae	0
torulaspora microellipsoides	0
torulaspora pretoriensis	0
trigonopsis variabilis	0
trigonopsis vinaria	0
vanderwaltozyma polyspora	0
wickerhamia fluorescens	0
wickerhamiella cacticola	0
wickerhamiella infanticola	0
wickerhamomyces alni	0.598666945
wickerhamomyces anomalus	0
wickerhamomyces bovis	0.204896106
wickerhamomyces canadensis	0.265695786
wickerhamomyces ciferrii	0
wickerhamomyces hampshirensis	0.216538714
yamadazyma nakazawae	0.330661156
yamadazyma philogaea	0.620596812
yamadazyma scolyti	1.032050583
yamadazyma tenuis	0.357583687
yarrowia bubula	0
yarrowia deformans	0
yarrowia divulgata	0
yarrowia keelungensis	0
yarrowia lipolytica	0
zygoascus meyerae	0
zygoascus ofunaensis	0.498346357
zygosaccharomyces bisporus	0
zygosaccharomyces kombuchaensis	0
zygosaccharomyces rouxii	0
zygotorulaspora florentina	0
zygotorulaspora mrakii	0
