all_taxa	xyl1	xyl2	xyl3
saccharomyces eubayanus	1	1	1
nadsonia fulvescens	1	1	1
ogataea nonfermentans	1	1	1
millerozyma acaciae	1	1	1
pichia norvegensis	1	1	1
priceomyces haplophilus	1	1	1
pichia nakasei	1	1	1
candida oregonensis	1	1	1
nadsonia fulvescens var elongata	1	1	1
metschnikowia hawaiiensis	1	1	1
candida parapsilosis	1	1	1
candida sorboxylosa	1	1	1
candida azyma	1	1	1
metschnikowia arizonensis	1	1	1
kodamaea ohmeri	1	1	1
candida canberraensis	1	1	1
komagataella pastoris	1	1	1
candida montana	1	1	1
hanseniaspora uvarum	1	0	0
wickerhamomyces bovis	1	1	1
naumovozyma dairenensis	1	0	1
spencermartinsiella europaea	1	1	1
dipodascus geniculatus	1	1	1
pachysolen tannophilus	1	1	1
kazachstania siamensis	1	0	1
tetrapisispora iriomotensis	1	0	1
lipomyces doorenjongii	1	1	1
nakaseomyces bacillisporus	1	0	1
yarrowia lipolytica	1	1	1
brettanomyces custersianus	1	1	1
nakaseomyces delphensis	1	0	1
pichia exigua	1	1	1
kurtzmaniella cleridarum	1	1	1
kazachstania africana	1	0	1
eremothecium coryli	1	0	0
cephaloascus albidus	1	1	1
candida cretensis	1	1	1
yamadazyma scolyti	1	1	1
ogataea pilisensis	1	1	1
ogataea kodamae	1	1	1
zygosaccharomyces kombuchaensis	1	1	1
wickerhamiella domercqiae	1	0	0
komagataella pseudopastoris	1	1	1
candida restingae	1	1	1
lipomyces lipofer	1	1	0
yarrowia divulgata	1	1	1
saccharomyces arboricola	1	1	1
ogataea henricii	1	1	1
lipomyces arxii	1	1	1
meyerozyma guilliermondii	1	1	1
metschnikowia ipomoeae	1	1	1
pichia heedii	1	1	1
tetrapisispora phaffii	1	0	1
ogataea polymorpha	1	1	1
spathaspora arborariae	1	1	1
candida wancherniae	1	1	1
ambrosiozyma monospora	1	1	1
candida glabrata	1	0	1
debaryomyces subglobosus	1	1	1
metschnikowia dekortum	1	1	1
blastobotrys serpentis	1	1	1
hanseniaspora osmophila	1	0	1
candida succiphila	1	1	1
metschnikowia santaceciliae	1	1	1
citeromyces matritensis	1	1	1
candida versatilis	1	0	0
brettanomyces anomalus	1	1	1
spathaspora girioi	1	1	1
candida tanzawaensis	1	1	1
metschnikowia continentalis	1	1	1
torulaspora delbrueckii	1	1	1
spathaspora hagerdaliae	1	1	1
zygoascus ofunaensis	1	1	1
kregervanrija delftensis	1	1	1
hanseniaspora pseudoguilliermondii	1	0	0
zygotorulaspora mrakii	1	1	1
lipomyces oligophaga	1	1	1
kloeckera hatyaiensis	1	0	0
starmera quercuum	1	1	1
ashbya aceri	1	1	1
candida incommunis	1	1	1
metschnikowia hamakuensis	1	1	1
kuraishia capsulata	1	1	1
saturnispora hagleri	1	1	1
