all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
candida freyschussii	0.979869631901841	0.831213214353522	0.665654072527055	0.973799126637555	0.991076514144674	34967	0.15399635	265
cyberlindnera mrakii	0.995472837022133	0.942488262910798	0.583585543884636	0.961367277906356	0.991616364855802	34978	0.173722652	266
cyberlindnera suaveolens	0.948741170077884	0.880999818873393	0.663104510052527	0.907815631262525	0.985509871400109	35687	0.311985854	267
cyberlindnera saturnus	0.979073756432247	NA	0.640502092050209	0.984219554030875	0.990909090909091	35686	0.138286886	268
cyberlindnera misumaiensis	0.948741170077884	NA	0.663104510052527	0.96748431260696	0.98687963491158	34979	0.330916567	269
cyberlindnera maclurae	0.979869631901841	0.888196546199039	0.583585543884636	0.964340490797546	0.984087423312883	35699	0	270
candida vartiovaarae	NA	NA	NA	NA	NA	NA	NA	271
cyberlindnera jadinii	0.936414114275479	NA	0.459963436928702	0.96709323583181	0.985849901486656	35336	0.15288162	272
cyberlindnera xylosilytica	0.982541222114452	0.821968424588512	0.641771742644682	0.719684245885119	0.998656365468592	35688	0.384959885	273
cyberlindnera fabianii	NA	0.903057275541796	NA	0.962848297213622	NA	35701	0.211013736	274
cyberlindnera petersonii	0.968265682656827	0.821586715867159	0.678044280442804	0.96709323583181	0.990405904059041	35325	0.222794836	275
candida mycetangii	0.911184210526316	0.471673976608187	0.656615497076023	0.96748431260696	0.98687963491158	35689	0.227010724	276
cyberlindnera americana	0.969645550527903	0.8776217399234	0.59875980302754	0.969457013574661	0.991428050337407	35703	0.695865394	277
alloascoidea hylecoeti	NA	NA	NA	NA	NA	NA	NA	278
sporopachydermia quercuum	NA	0.957666114485551	NA	0.944045646972207	NA	34603	0.925854645	279
sporopachydermia lactativora	0.977594339622642	0.944719018854109	0.912685337726524	0.955385220125786	0.989779874213837	34604	0	280
nadsonia fulvescens_var._fulvescens	NA	NA	NA	NA	NA	NA	NA	281
nadsonia fulvescens_var._elongata	NA	NA	NA	NA	NA	NA	NA	282
candida hispaniensis	NA	0.956529329608939	0.269948392219135	0.959846368715084	0.987296546248511	35633	0	283
yarrowia bubula	NA	0.992770213278708	0.431304893350063	0.930363864491844	0.995922208281054	35643	0	284
yarrowia keelungensis	NA	0.791899901218308	NA	0.899536647009267	NA	35646	0	285
yarrowia lipolytica	NA	0.881061473844979	0.341455437448896	0.970026727758686	0.992313982011447	35647	0	286
yarrowia deformans	NA	0.522701567296817	NA	0.925836160930683	NA	35644	0	287
yarrowia divulgata	NA	0.851726824201506	0.397458300238284	0.919301032565528	0.997403271877434	35645	0	288
middelhovenomyces tepae	NA	NA	NA	NA	NA	35665	1.300924713	289
geotrichum candidum	0.967117117117117	0.941441441441441	0.535485297369003	0.956887021888127	0.985135135135135	34738	0	290
dipodascus albidus	0.962869729389553	0.949324324324324	0.727029578351164	0.831695331695332	0.985840151038389	34661	1.644636283	291
dipodascus geniculatus	NA	NA	NA	NA	NA	NA	NA	292
magnusiomyces tetraspermus	NA	0.864500961743962	0.718102158580893	0.972643727292156	0.997403271877434	41818	0	293
saprochaete clavata	NA	NA	NA	NA	NA	NA	NA	294
candida incommunis	0.960484023444886	0.789941387785971	0.576668557383248	0.970080197409007	0.993193420306296	35244	0.219902048	295
deakozyma indianensis	0.974722328609728	0.847567981616239	0.155878973573344	0.933358866334738	0.98295672156262	34974	0.610861411	296
wickerhamiella versatilis	NA	NA	NA	NA	NA	NA	NA	297
wickerhamiella domercqiae	NA	NA	NA	NA	NA	NA	NA	298
starmerella bombicola	NA	NA	NA	0.857366771159875	NA	35657	0	299
starmerella apicola	NA	NA	NA	NA	NA	NA	NA	300
wickerhamiella cacticola	NA	NA	0.36529933481153	0.958056171470806	0.956947524020695	34646	0	301
wickerhamiella infanticola	NA	NA	NA	0.917778836987607	0.989990467111535	35289	0	302
blastobotrys muscicola	0.946749324431728	0.905539906103286	0.68018779342723	0.959783818152917	0.991893180734382	34674	0	303
blastobotrys serpentis	NA	NA	NA	NA	NA	NA	NA	304
blastobotrys americana	NA	NA	NA	NA	NA	NA	NA	305
blastobotrys peoriensis	0.968928451461203	0.821968424588512	0.640502092050209	0.964016736401674	0.998656365468592	34671	0.482574135	306
blastobotrys adeninivorans	0.996302816901408	0.54612676056338	0.491977289558134	0.902493211552703	0.99137323943662	34680	0.769422595	307
blastobotrys raffinosifermentans	0.995472837022133	0.942488262910798	0.386150234741784	0.883981857245166	0.991616364855802	34669	0.552371801	308
blastobotrys mokoenaii	0.983851571894863	0.979728568974403	0.694725992097578	0.977323483937468	0.980742778541953	34675	0	309
blastobotrys nivea	NA	NA	NA	NA	NA	NA	NA	310
blastobotrys proliferans	0.977454545454545	0.905745454545455	0.451303766436372	0.911745041230221	0.985018181818182	34670	0	311
groenewaldozyma salmanticensis	0.975389069851611	0.708288092652913	0.416490038151759	0.958456973293769	0.992037640246109	35691	0	312
zygoascus ofunaensis	0.984754376058724	0.0478072651985695	0.450781102955016	0.96976506639428	0.976472802559759	35242	0.498346357	313
zygoascus meyerae	0.954476766150359	0.930676237249717	0.527767283717416	0.965243672081602	0.993577635058557	35243	0	314
sugiyamaella lignohabitans	0.992645706931421	0.982165839308696	0.754550468836183	0.927927927927928	0.996506710792425	37840	0.697917242	315
spencermartinsiella europaea	NA	NA	NA	NA	NA	34605	0	316
diddensiella caesifluorescens	0.948998801985282	0.631011466712305	0.622849861966447	0.921427054576343	0.991956186890296	34660	0.325621165	317
trigonopsis variabilis	NA	0.899025341130604	0.588304093567251	0.966861598440546	0.981286549707602	35650	0	318
trigonopsis vinaria	NA	0.950579929399899	0.152295409181637	0.966067864271457	0.987824351297405	35282	0	319
botryozyma nematodophila	NA	NA	NA	NA	NA	NA	NA	320
tortispora starmeri	NA	NA	NA	NA	NA	NA	NA	321
tortispora ganteri	NA	NA	NA	NA	NA	NA	NA	322
tortispora caseinolytica	0.969570267131243	0.863598150483396	0.655527532576713	0.973308112652375	0.977700348432056	34572	1.51032555	323
lipomyces lipofer	NA	NA	NA	NA	NA	NA	NA	324
lipomyces japonicus	0.96005486027773	0.989370821189782	0.772101790763431	0.970216776625825	0.997549481621112	34758	1.202911662	325
lipomyces doorenjongii	NA	NA	NA	NA	NA	NA	NA	326
lipomyces kononenkoae	NA	NA	NA	NA	NA	NA	NA	327
lipomyces starkeyi	0.971148957803762	0.91268429079817	0.762186698243537	0.952042628774423	0.991865785460092	34743	1.046347267	328
lipomyces arxii	0.909542195256481	0.859349145063431	0.837191358024691	0.97608024691358	0.992140099282956	34754	1.144972613	329
lipomyces mesembrius	NA	NA	NA	NA	NA	NA	NA	330
lipomyces oligophaga	NA	NA	NA	NA	NA	NA	NA	331
lipomyces suomiensis	NA	NA	NA	NA	NA	NA	NA	332
