all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
metschnikowia continentalis	0.966804979253112	0.951244813278008	0.705912863070539	0.961904761904762	0.978111946532999	40943	0.394420359	59
metschnikowia cerradonensis	NA	0.947586206896552	0.76948275862069	0.976930596285435	0.942586206896552	40954	0.732856565	60
metschnikowia santaceciliae	NA	NA	NA	NA	NA	NA	NA	61
metschnikowia lochheadii	NA	0.931909679677927	0.660423595308945	0.969543147208122	0.990900818926297	40941	0.710995601	62
metschnikowia matae_var._maris	NA	0.905723630417007	0.667457072771872	0.959852820932134	0.927800490596893	40795	0.392960435	63
metschnikowia matae_var._matae	NA	0.905723630417007	0.667457072771872	0.959852820932134	0.927800490596893	40940	1.077972967	64
metschnikowia kamakouana	NA	NA	NA	NA	NA	NA	NA	65
metschnikowia hawaiiensis	NA	0.957666114485551	0.821467688937568	0.969331872946331	0.949799196787149	40949	0.441732364	66
metschnikowia mauinuiana	NA	NA	NA	NA	NA	NA	NA	67
metschnikowia hamakuensis	NA	0.927706488342671	0.821435026206398	0.965660581962769	0.969455991324779	40948	0.324586223	68
metschnikowia arizonensis	NA	NA	NA	NA	NA	NA	NA	69
metschnikowia similis	NA	0.908895405669599	0.00625610948191593	0.976930596285435	0.925513196480938	40934	0.227538067	70
metschnikowia bowlesiae	0.966445733222867	0.948218724109362	0.784797017398509	0.977931299174822	0.977009113504557	40955	0	71
metschnikowia dekortorum	0.980839612486545	0.885817307692308	0.759214743589744	0.975761217948718	0.977825618945102	40945	0	72
danielozyma ontarioensis	0.964958476807778	0.841401660927689	0.679157383026129	0.932405202418025	0.992505570184323	34973	0	73
candida gotoi	0.972252807751597	0.899801805769654	0.799815498154982	0.965129151291513	0.99409594095941	35681	0.134529532	74
candida rhagii	0.986419013381266	0.835016193560678	0.797866260240046	0.957896742236616	0.996405032953865	35679	0.384751819	75
hyphopichia heimii	0.97682119205298	0.859455481972038	0.826158940397351	0.956774729842061	0.987674760853569	35318	0.445830977	76
hyphopichia burtonii	0.963079693831607	0.823098820658804	0.839975599837332	0.954656364375763	0.988743809095002	35682	0	77
hyphopichia homilentoma	NA	0.881061473844979	NA	0.971554993678888	NA	35316	0.3715146	78
candida ascalaphidarum	0.980954176881011	0.882896473694135	0.752592871959268	0.934322033898305	0.992268527248727	41855	0.491215432	79
yamadazyma scolyti	0.953426343865408	0.92757488715634	0.858432498974149	0.966565349544073	0.994050061551087	35641	1.032050583	80
yamadazyma tenuis	0.963777490297542	0.979855849196082	0.856218813527999	0.933468859730179	0.997412677878396	41836	0.357583687	81
yamadazyma philogaea	0.99479969183359	0.897534668721109	0.863923361637274	0.902242543000218	0.99537750385208	35640	0.620596812	82
yamadazyma nakazawae	0.969672462596037	0.904569348968864	0.819045693489689	0.948498748957465	0.987060250707643	35252	0.330661156	83
candida tammaniensis	0.99479969183359	0.897534668721109	0.753081664098613	0.980004300150505	0.99537750385208	41833	0.56179672	84
candida gorgasii	0.980954176881011	0.882896473694135	0.752592871959268	0.971297148114075	0.997792088316467	41863	0.407356458	85
candida athensensis	0.963079693831607	NA	0.508104457451598	0.881809995497524	0.988743809095002	34632	0	86
meyerozyma guilliermondii	NA	NA	NA	NA	NA	NA	NA	87
meyerozyma caribbica	0.95407315045719	0.809019118869493	0.75665004156276	0.958613445378151	0.98781512605042	35662	0.369100472	88
candida carpophila	NA	NA	NA	0.971554993678888	NA	35664	0.521456343	89
candida schatavii	0.964958476807778	0.841401660927689	0.686149220071415	0.934410825032889	0.992505570184323	34643	0	90
kurtzmaniella cleridarum	0.909542195256481	0.859349145063431	0.386100386100386	NA	0.992140099282956	35667	0.176953225	91
candida fragi	NA	NA	NA	NA	NA	NA	NA	92
cephaloascus fragrans	0.978653530377668	NA	0.59710948327064	0.955482576172231	0.992872698475549	34999	0	93
cephaloascus albidus	0.969235751295337	NA	0.498704663212435	0.96065414507772	0.99449481865285	34998	0.361234779	94
pachysolen tannophilus	0.955926481620405	0.931732933233308	0.732558139534884	0.946549137284321	0.971867966991748	35669	0.313437257	95
nakazawaea holstii	0.974982381959126	0.79369274136716	0.813248766737139	0.966878083157153	0.994009866102889	34918	0	96
nakazawaea peltata	NA	NA	NA	0.964278928367851	NA	34921	0.457573847	97
peterozyma toletana	0.940163654960791	0.847937265598363	0.567976327469998	0.963340457011343	0.987177379582443	34884	0.195277046	98
peterozyma xylosa	NA	NA	NA	NA	NA	NA	NA	99
komagataella pastoris	0.906215921483097	0.71475307680324	0.658202212182583	0.955771305285868	0.988939087085216	34953	0.166347026	100
komagataella pseudopastoris	0.940163654960791	0.847937265598363	0.339754517558814	0.966674275279617	0.982270712580975	34939	0	101
komagataella populi	0.827955801104972	0.880441988950276	0.575580110497238	0.954525768731052	0.958856647899524	26274	0	102
citeromyces siamensis	0.974982381959126	0.880441988950276	0.813248766737139	0.966878083157153	0.994009866102889	34952	0	103
citeromyces matritensis	0.983851571894863	0.979728568974403	0.694725992097578	0.977323483937468	0.988939087085216	26142	0	104
citeromyces hawaiiensis	0.945406125166445	0.862849533954727	0.621171770972037	0.961244444444444	0.988348868175766	34950	0	105
kuraishia ogatae	0.965215738452766	0.699676867515681	0.669074320471393	0.954525768731052	0.958856647899524	34932	0.250078689	106
kuraishia molischiana	0.945406125166445	NA	0.737781954887218	0.950375939849624	0.988348868175766	34933	0.25353123	107
kuraishia capsulata	0.933507657825925	0.657384158867838	0.550803137840867	0.966674275279617	0.958000456516777	34937	0.217562796	108
candida boidinii	NA	0.980340063761955	NA	0.945410806809771	NA	34926	0.507395715	109
ogataea methylivora	0.951601671309192	0.746518105849582	0.661515453639083	0.922179665738162	0.958624127617149	34901	0.49543014	110
ogataea ramenticola	0.944186944766319	0.914059482425647	0.847765101926314	0.914252607184241	0.969293163383546	34890	0.420175779	111
ogataea naganishii	0.967342582710779	0.927474236826755	0.776734258271078	0.940307213688509	0.968623265741729	34903	0.406096817	112
candida succiphila	NA	0.7654613712705	NA	0.956925508792729	NA	34906	0.393804245	113
brettanomyces custersianus	NA	NA	NA	NA	NA	NA	NA	114
brettanomyces bruxellensis	NA	NA	NA	NA	NA	NA	NA	115
brettanomyces anomalus	NA	NA	NA	NA	NA	NA	NA	116
kregervanrija delftensis	0.969910493239383	0.933917349076366	0.863264140163778	0.951628261283565	0.97276709198248	35674	0	117
kregervanrija fluxuum	0.952919020715631	0.930696798493409	0.732015065913371	0.95969868173258	0.988700564971751	35675	0	118
martiniozyma abiesophila	NA	NA	NA	NA	NA	34631	0	119
saturnispora silvae	0.840018441678193	0.860167022722859	NA	0.946288612263716	0.980866758875058	34614	0	120
saturnispora mendoncae	0.965215738452766	0.713781749764817	0.669074320471393	0.962605832549388	0.960253998118532	34611	0	121
saturnispora saitoi	0.967117117117117	0.941441441441441	0.406306306306306	0.944185012230376	0.985135135135135	34612	0	122
saturnispora zaruensis	0.840018441678193	0.504610419548179	0.304300842878755	0.946288612263716	0.980866758875058	34615	0	123
saturnispora dispora	0.81429211469534	0.713781749764817	0.430150517403575	0.966845878136201	0.963933691756272	35659	0	124
saturnispora hagleri	0.882944575219345	0.710678365075968	0.60539268136101	0.93744769874477	0.876524716456238	34610	0	125
saturnispora serradocipensis	0.884749455337691	0.624088273798392	0.426594351973069	0.862745098039216	0.977124183006536	34613	0	126
pichia terricola	0.928793210515421	0.596149865452287	0.436141585593045	0.940178016973711	0.647898985717243	35301	0	127
candida sorboxylosa	NA	NA	NA	0.92502965599051	NA	37882	0.159208062	128
pichia membranifaciens	0.652442556478085	0.899594516315891	0.63568215892054	0.875776397515528	0.98672092525166	35661	0	129
pichia exigua	0.937346711259755	0.701672240802676	0.60958751393534	0.966845878136201	0.963933691756272	34629	0	130
pichia occidentalis	0.922858302882663	0.738937069157216	0.274627529464087	0.944185012230376	0.983962647178238	34622	0	131
pichia kudriavzevii	0.929790866410585	0.82202304737516	0.57063593683312	0.912291933418694	0.963081519419548	34625	0	132
pichia norvegensis	0.919507367495052	0.799428194413899	0.461623048163624	0.896635144051023	0.977124183006536	34623	0	133
pichia nakasei	0.967625899280576	NA	0.689709102283391	0.991867375664686	0.995933687832343	34624	0	134
pichia heedii	0.967342582710779	0.854855923159018	0.776734258271078	0.9688839202534	0.968623265741729	34627	0.522594544	135
ambrosiozyma maleeae	0.889729299363057	0.704020700636943	0.135350318471338	0.962579617834395	0.991084695393759	35040	0.114615977	136
ambrosiozyma kashinagacola	NA	0.936898593634345	NA	0.945410806809771	NA	35038	0	137
ambrosiozyma vanderkliftii	NA	NA	NA	NA	NA	NA	NA	138
ambrosiozyma pseudovanderkliftii	0.950839964633068	0.933333333333333	0.858885941644562	0.962864721485411	0.990981432360743	35041	0	139
ambrosiozyma monospora	NA	0.958159577425633	NA	0.980539338337504	NA	26279	0	140
ambrosiozyma oregonensis	0.960484023444886	0.905594405594406	0.782051282051282	0.968864468864469	0.993193420306296	34946	0.413391407	141
ambrosiozyma ambrosiae	0.950839964633068	0.933333333333333	0.858885941644562	0.975331201461855	0.990981432360743	26137	0	142
