all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	xyl1.2	xyl2.2	xyl3.2	tal1.2	tkl1.2
ogataea zsoltii	0.973864937046929	0.650515070583747	0.639450591377337	0.976726440289966	0.867989317054559	0.427508584509729	NA	NA	0.836131247615414	0.937428462418924
ogataea pini	0.939164237123421	0.834596695821186	0.521671525753158	0.862779397473275	0.736831875607386	0.848590864917396	NA	NA	0.966958211856171	0.92108843537415
ogataea henricii	0.953083109919571	0.875526618153964	0.335886633473765	0.903293757181157	0.669092301800077	0.581577939486787	NA	NA	0.967828418230563	0.882803523554194
blastobotrys proliferans	0.977454545454545	0.905745454545455	0.323636363636364	0.557818181818182	0.985018181818182	NA	NA	NA	0.960290909090909	NA
ogataea glucozyma	0.957385337667028	0.777175875767425	0.755146262188516	0.978692668833514	0.920368364030336	NA	NA	NA	0.852293246659444	0.856085229324666
ogataea kodamae	0.443978569764733	0.365711623573259	0.149778709527137	0.90146750524109	0.8893547635686	NA	NA	NA	0.886326578150478	0.703936641043559
ogataea minuta	0.816190476190476	0.822857142857143	0.23	0.966190476190476	0.895238095238095	0.945	NA	NA	0.948333333333333	NA
ogataea nonfermentans	0.848594741613781	0.763553943789665	0.432094288304624	0.8883046237534	0.847144152311877	0.966999093381686	NA	NA	0.970988213961922	0.809972801450589
ogataea philodendra	0.958546913305104	0.627367951860932	0.451303766436372	0.911745041230221	0.798083351905505	NA	NA	NA	0.895698685090261	NA
ogataea parapolymorpha	0.927786106946527	NA	0.318340829585207	0.856821589205397	0.328835582208896	NA	NA	NA	0.954772613693153	0.948775612193903
ogataea polymorpha	0.940368098159509	NA	0.522944785276074	0.974723926380368	0.520736196319018	NA	NA	NA	0.907239263803681	0.453742331288344
ambrosiozyma pseudovanderkliftii	0.281238615664845	0.898178506375228	0.554644808743169	0.924772313296903	0.797814207650273	0.855191256830601	NA	NA	NA	0.960655737704918
ambrosiozyma philentoma	0.770259760460414	0.925338310779281	0.901695442526054	0.970757505055219	0.483278892518277	0.932648934515477	NA	NA	NA	0.862498055685177
deakozyma indianensis	0.974722328609728	0.847567981616239	0.155878973573344	0.933358866334738	0.98295672156262	NA	NA	NA	NA	NA
ambrosiozyma oregonensis	0.734931734931735	0.905594405594406	0.782051282051282	0.968864468864469	0.987845487845488	0.879287379287379	NA	NA	NA	0.54012654012654
ambrosiozyma vanderkliftii	0.916697247706422	0.928440366972477	0.571009174311927	0.944587155963303	0.967339449541284	NA	NA	NA	NA	0.845504587155963
ambrosiozyma ambrosiae	0.950839964633068	0.933333333333333	0.858885941644562	0.962864721485411	0.990981432360743	NA	NA	NA	NA	0.793103448275862
ambrosiozyma maleeae	0.889729299363057	0.704020700636943	0.135350318471338	0.962579617834395	0.659832802547771	NA	NA	NA	NA	0.409235668789809
hanseniaspora singularis	0.866991473812424	NA	NA	0.912545676004872	0.968331303288672	NA	NA	NA	NA	NA
candida incommunis	0.960484023444886	0.789941387785971	0.576668557383248	0.967290603138589	0.993193420306296	NA	NA	NA	0.479296653431651	NA
lipomyces oligophaga	0.672473867595819	0.860260407115349	0.258756647716853	0.674491105813314	0.986246103062534	NA	NA	NA	0.972858976710068	NA
hanseniaspora valbyensis	0.861123800822293	NA	NA	0.975331201461855	0.96345363179534	NA	NA	NA	NA	NA
kloeckera hatyaiensis	0.667161961367013	NA	NA	0.957404655770183	0.991084695393759	NA	NA	NA	NA	NA
hanseniaspora pseudoguilliermondii	0.803532008830022	NA	NA	0.959038508707383	0.973755212165808	NA	NA	NA	NA	NA
hanseniaspora uvarum	0.918260333127699	NA	NA	0.970080197409007	0.975015422578655	NA	NA	NA	NA	NA
hanseniaspora clermontiae	0.906970912738215	NA	NA	0.964142427281846	0.9839518555667	NA	NA	NA	NA	0.871865596790371
pichia kudriavzevii	0.929790866410585	0.82202304737516	0.57063593683312	0.912291933418694	0.963081519419548	NA	NA	NA	NA	NA
pichia terricola	0.928793210515421	0.596149865452287	0.436141585593045	0.940178016973711	0.647898985717243	NA	NA	NA	NA	NA
pichia occidentalis	0.922858302882663	0.307551766138855	0.0649614291514413	0.841656516443362	0.983962647178238	NA	NA	NA	NA	NA
middelhovenomyces tepae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pichia exigua	0.937346711259755	0.701672240802676	0.60958751393534	0.91304347826087	0.624526198439242	NA	NA	NA	NA	NA
pichia norvegensis	0.919507367495052	0.799428194413899	0.461623048163624	0.896635144051023	0.690785133054761	NA	NA	NA	NA	NA
martiniozyma abiesophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
saturnispora saitoi	0.795641538803647	0.738937069157216	0.274627529464087	0.944185012230376	0.950411385368023	NA	NA	NA	NA	NA
saturnispora zaruensis	0.833585476550681	0.418629781716015	0.304300842878755	0.744975145882862	0.959368921547439	NA	NA	NA	NA	NA
saturnispora dispora	0.81429211469534	0.252464157706093	0.272177419354839	0.966845878136201	0.963933691756272	NA	NA	NA	NA	NA
saturnispora serradocipensis	0.884749455337691	0.44161220043573	0.193899782135076	0.862745098039216	0.977124183006536	NA	NA	NA	NA	NA
saturnispora hagleri	0.882944575219345	0.710678365075968	0.60539268136101	0.923175690134817	0.876524716456238	NA	NA	NA	NA	NA
geotrichum candidum	0.967117117117117	0.941441441441441	0.406306306306306	0.845045045045045	0.985135135135135	NA	NA	NA	NA	NA
saturnispora silvae	0.840018441678193	0.504610419548179	NA	0.946288612263716	0.980866758875058	NA	NA	NA	NA	NA
saturnispora mendoncae	0.704374412041392	0.713781749764817	0.430150517403575	0.962605832549388	0.960253998118532	NA	NA	NA	NA	NA
priceomyces carsonii	0.847952122685618	0.624088273798392	0.426594351973069	0.307649149055545	0.588180288011969	0.981297924069572	NA	NA	0.93622592107724	NA
brettanomyces custersianus	0.393723849372385	0.424058577405858	0.275732217573222	0.93744769874477	0.867782426778243	NA	NA	NA	NA	NA
brettanomyces anomalus	0.778023435772717	0.783108556267964	0.535485297369003	0.956887021888127	0.968383816051293	NA	NA	NA	NA	NA
dekkera bruxellensis	0.75393280248592	0.860167022722859	0.266847931637211	0.768498737618955	0.899397941347835	NA	NA	NA	NA	NA
kuraishia ogatae	0.965215738452766	0.699676867515681	0.669074320471393	0.919787112716214	0.742444402204904	NA	NA	NA	0.954381296331496	0.911423683710321
dipodascus albidus	0.941799754299754	0.949324324324324	0.583538083538084	0.831695331695332	0.983568796068796	NA	NA	NA	NA	NA
kuraishia capsulata	0.933507657825925	0.532312289876728	0.550803137840867	0.80575270825551	0.901195367949197	NA	NA	NA	0.717220769518117	0.690324990661188
kuraishia molischiana	0.929699248120301	NA	0.737781954887218	0.950375939849624	0.668233082706767	NA	NA	NA	0.699624060150376	NA
komagataella pastoris	0.560949298813377	0.459762675296656	0.390291262135922	0.955771305285868	0.781229773462783	NA	NA	NA	0.950161812297735	0.981445523193096
komagataella populi	0.804677349501949	0.559766132524903	0.293417063663924	0.954525768731052	0.958856647899524	NA	NA	NA	0.969250757903855	NA
dipodascus geniculatus	0.962869729389553	0.926054122089364	0.727029578351164	0.699181875393329	0.985840151038389	NA	NA	NA	NA	NA
komagataella pseudopastoris	0.82812143346268	0.657384158867838	0.20862816708514	0.966674275279617	0.958000456516777	NA	NA	NA	0.884957772198128	NA
citeromyces hawaiiensis	0.945406125166445	0.862849533954727	0.621171770972037	0.938914780292943	0.988348868175766	NA	NA	0.75965379494008	NA	0.988015978695073
citeromyces matritensis	0.906215921483097	0.71475307680324	0.658202212182583	0.949057485589656	0.988939087085216	NA	NA	NA	NA	NA
citeromyces siamensis	0.827955801104972	0.880441988950276	0.575580110497238	0.938895027624309	0.924198895027624	0.926077348066298	NA	0.400110497237569	0.946629834254144	0.906077348066298
pachysolen tannophilus	0.955926481620405	0.931732933233308	0.732558139534884	0.946549137284321	0.971867966991748	0.953675918979745	NA	NA	NA	NA
peterozyma toletana	0.940163654960791	0.847937265598363	0.339754517558814	0.757074667575861	0.982270712580975	NA	NA	NA	0.970167064439141	0.618138424821002
peterozyma xylosa	0.8704	0.748977777777778	0.298488888888889	0.961244444444444	0.586133333333333	NA	NA	NA	0.793244444444444	0.972977777777778
blastobotrys mokoenaii	0.983851571894863	0.979728568974403	0.694725992097578	0.977323483937468	0.979384985397698	NA	NA	NA	NA	NA
nakazawaea holstii	0.974982381959126	0.79369274136716	0.813248766737139	0.966878083157153	0.994009866102889	NA	NA	NA	NA	NA
ascoidea rubescens	0.735743112826812	0.223021582733813	0.23197052114406	0.88401473942797	0.958238287418845	NA	NA	NA	NA	NA
candida ponderosae	0.883445668255795	0.823113595265494	0.567976327469998	0.963340457011343	0.987177379582443	NA	NA	0.519973697188887	NA	NA
candida stellimalicola	0.875632975491189	0.415434474377152	0.386469515900344	0.837148065626899	0.992100465869961	NA	NA	NA	NA	NA
starmera amethionina	0.870898015327176	0.420907840440165	0.176459029278837	0.58813126350953	0.980742778541953	NA	NA	NA	0.955393987030851	NA
starmera quercuum	0.966790352504638	0.363265306122449	0.0343228200371058	0.260853432282004	0.986456400742115	NA	NA	NA	0.913358070500928	NA
wickerhamomyces anomalus	0.895362663495838	0.54153218957024	0.724307796840496	0.968914557499575	0.995073891625616	NA	NA	NA	0.383556989977917	NA
wickerhamomyces ciferrii	0.92327506899724	0.655933762649494	0.75933762649494	0.4557497700092	0.999264029438822	NA	NA	NA	0.986752529898804	NA
wickerhamomyces alni	0.977199281867145	0.843806104129264	0.541831238779174	0.894075403949731	0.989048473967684	NA	NA	NA	0.978456014362657	NA
blastobotrys serpentis	0.966639806607575	0.897663174858985	0.520547945205479	0.829814665592264	0.979854955680903	NA	0.859307010475423	NA	0.709911361804996	0.76986301369863
candida azyma	0.951201879631303	0.859750587384782	0.641062714621363	0.965660581962769	0.983914693656244	NA	NA	NA	NA	NA
wickerhamomyces canadensis	0.94335589597435	0.861239757748486	0.399358745992162	0.964374777342358	0.97613110081938	NA	NA	NA	NA	NA
wickerhamomyces bovis	0.970040189989039	0.823164048227987	0.316770186335404	0.952868103763244	0.980635732553891	NA	NA	NA	NA	NA
candida montana	0.88325872873769	0.849418084153984	0.398209489704566	0.948612354521039	0.996777081468218	0.916025067144136	NA	NA	0.938943598925694	NA
phaffomyces thermotolerans	0.79230322954941	0.463159930380971	0.297041191258944	0.584413072906594	0.983755559853027	0.940823825178882	0.333204409205183	NA	0.958228582479211	NA
candida orba	0.843167110772745	0.471830985915493	0.23658165207461	0.957556147696993	0.991815759421393	0.929767795964979	NA	0.693376475066616	0.639322421012562	NA
phaffomyces antillensis	0.747632311977716	NA	0.204085422469824	0.963602599814299	0.983101207056639	0.948932219127205	NA	NA	0.820798514391829	NA
phaffomyces opuntiae	0.715952597994531	0.774293527803099	0.23792160437557	0.963172288058341	0.985961713764813	0.954603463992707	NA	NA	0.838833181403829	NA
barnettozyma pratensis	0.961411850768105	0.845830285296269	0.429407461594733	0.963240673006584	0.995427944403804	NA	NA	NA	NA	NA
barnettozyma salicaria	0.949685534591195	0.575185820468839	0.079664570230608	0.944349151896322	0.985896702877835	0.915189632170764	NA	NA	NA	NA
blastobotrys americana	0.924839596700275	0.729789184234647	0.0997250229147571	0.965536205316224	0.991934005499542	NA	NA	NA	0.615948670944088	0.856278643446379
barnettozyma californica	0.92328969205237	NA	0.547851742577909	0.946524064171123	0.995205605753273	0.797160243407708	NA	NA	0.746450304259635	NA
barnettozyma hawaiiensis	0.763954402515723	0.826454402515723	0.320361635220126	0.939465408805031	0.98624213836478	0.750196540880503	NA	NA	0.717177672955975	NA
barnettozyma populi	0.933055975794251	0.858169440242057	0.374432677760968	0.795196671709531	0.985249621785174	0.630673222390318	NA	NA	0.95518154311649	NA
candida freyschussii	0.964495917979875	0.831213214353522	0.665654072527055	0.973799126637555	0.991076514144674	NA	NA	NA	NA	NA
cyberlindnera xylosilytica	0.982541222114452	0.819592628516004	0.641771742644682	0.705787261558358	0.973650177820886	NA	NA	NA	0.951341739411575	NA
candida mycetangii	0.911184210526316	0.471673976608187	0.656615497076023	0.88468567251462	0.978252923976608	NA	NA	NA	0.834978070175439	NA
cyberlindnera petersonii	0.968265682656827	0.821586715867159	0.678044280442804	0.866789667896679	0.990405904059041	NA	NA	NA	0.96309963099631	NA
cyberlindnera americana	0.898778041218311	0.8776217399234	0.59875980302754	0.963341236549334	0.991428050337407	0.968447929965347	NA	NA	0.565748677731169	NA
cyberlindnera maclurae	0.979869631901841	0.555789877300613	0.508052147239264	0.964340490797546	0.984087423312883	0.861963190184049	NA	NA	NA	0.448619631901841
blastobotrys peoriensis	0.968928451461203	0.821968424588512	0.164763184413839	0.719684245885119	0.998656365468592	NA	NA	NA	0.962378233120591	0.799798454820289
cyberlindnera misumaiensis	0.910249096786461	NA	0.501426126640046	0.96748431260696	0.98687963491158	0.92260886100019	NA	NA	NA	NA
cyberlindnera jadinii	0.914808043875686	NA	0.459963436928702	0.96709323583181	0.985009140767825	0.718464351005484	NA	NA	NA	NA
candida vartiovaarae	0.969645550527903	NA	0.528846153846154	0.969457013574661	0.985294117647059	NA	NA	NA	NA	NA
cyberlindnera mrakii	0.956382410539434	0.888196546199039	0.583585543884636	0.961367277906356	0.978814313690582	NA	NA	NA	0.780131742923269	NA
cyberlindnera saturnus	0.954979079497908	NA	0.640502092050209	0.964016736401674	0.983096234309623	NA	NA	NA	0.816569037656904	NA
cyberlindnera suaveolens	0.948741170077884	0.880999818873393	0.663104510052527	0.879913059228401	0.985509871400109	NA	NA	NA	0.967034957435247	NA
wickerhamomyces hampshirensis	0.936414114275479	0.882321332616873	0.204907755686907	0.783807988536629	0.985849901486656	NA	NA	NA	0.942504030091349	NA
arxula adeninivorans	0.996302816901408	0.54612676056338	0.467077464788732	0.869014084507042	0.99137323943662	NA	NA	NA	0.787147887323944	0.791197183098592
blastobotrys raffinofermentans	0.995472837022133	0.942488262910798	0.386150234741784	0.670858484238766	0.991616364855802	NA	0.404761904761905	NA	0.953219315895372	0.826961770623742
lipomyces suomiensis	0.979073756432247	0.918867924528302	0.621783876500858	0.984219554030875	0.990909090909091	NA	NA	NA	NA	NA
eremothecium cymbalariae	0.937374749498998	NA	0.0353206412825651	0.907815631262525	0.958416833667335	NA	NA	0.80185370741483	NA	NA
eremothecium coryli	0.924301812836845	NA	NA	0.960068593826556	0.970602645761881	NA	NA	NA	NA	NA
ashbya aceri	0.666748950876327	NA	0.491977289558134	0.902493211552703	0.960009874105159	NA	NA	NA	NA	NA
eremothecium gossypii	0.841250895201719	0.503938887562664	0.374552399140606	0.883981857245166	0.951301026497971	NA	NA	NA	NA	NA
kluyveromyces aestuarii	0.873328950252027	0.572211264518957	0.201840894148586	0.944334867411791	0.972167433705895	NA	NA	NA	NA	NA
kluyveromyces marxianus	0.983415508740475	0.758628417749888	0.921559838637382	0.967055132227701	0.992828328103989	NA	NA	NA	NA	NA
kluyveromyces lactis	0.939317319848293	0.818162663295407	0.556468605141171	0.961441213653603	0.987147071217868	NA	NA	NA	NA	NA
kluyveromyces dobzhanskii	0.924833082059014	0.760284298944648	0.646780099073875	0.953478354512169	0.988154210639673	NA	NA	NA	NA	NA
nakaseomyces castellii	0.945715567519067	NA	0.784208165096456	0.912516823687752	0.995737999102737	NA	NA	NA	0.953790937640197	0.890309555854643
sugiyamaella lignohabitans	0.992645706931421	0.982165839308696	0.754550468836183	0.927927927927928	0.996506710792425	NA	NA	NA	0.144511858797573	NA
nakaseomyces bacillisporus	0.944710491946017	NA	0.330430996952547	0.915759686547671	0.989986939486286	NA	NA	NA	NA	0.993905093600348
hanseniaspora osmophila	0.831165968701785	NA	0.721181397399162	0.966718095657924	0.975093674234075	NA	NA	NA	NA	NA
hanseniaspora vinae	0.893706293706294	NA	0.78041958041958	0.978741258741259	0.989090909090909	NA	NA	NA	NA	NA
zygotorulaspora mrakii	0.945560017849174	0.899375278893351	0.65751896474788	0.939759036144578	0.991521642124052	NA	NA	NA	NA	NA
zygotorulaspora florentina	0.653590568060021	0.697749196141479	0.513612004287245	0.901607717041801	0.990996784565916	NA	NA	NA	NA	NA
torulaspora microellipsoides	0.90805516689986	NA	0.515490705576654	0.967419548271037	0.985208874675195	NA	NA	NA	NA	NA
torulaspora maleeae	0.974508375819374	0.862102452051469	0.722019907744598	0.957999514445254	0.995144452537024	NA	NA	NA	NA	NA
zygosaccharomyces rouxii	0.967894027840144	0.799955096542434	0.550516389762012	0.965424337674001	0.981589582397845	NA	NA	NA	NA	NA
zygosaccharomyces bailii	0.917811355311355	NA	0.682921245421245	0.880494505494505	0.995421245421245	NA	NA	NA	NA	NA
zygosaccharomyces bisporus	0.926261026916987	0.956344718389505	0.637864736484958	0.92060619769283	0.984166478172359	NA	NA	NA	NA	NA
zygosaccharomyces kombuchaensis	0.949881796690307	NA	0.653900709219858	0.900472813238771	0.980851063829787	NA	NA	NA	NA	NA
torulaspora delbrueckii	0.527176416397973	0.877475817595578	0.761860893597421	0.976047904191617	0.984799631506218	NA	NA	NA	NA	NA
torulaspora franciscae	0.94259882253995	0.848822539949537	0.478973927670311	0.923465096719933	0.994533221194281	NA	NA	NA	NA	NA
torulaspora pretoriensis	0.428122690317812	NA	0.322985957132299	0.961751662971175	0.989652623798965	NA	NA	NA	NA	NA
lachancea fermentati	0.894770544290288	0.592102454642476	0.583991462113127	0.977801494130203	0.986339381003202	NA	NA	NA	NA	NA
lachancea cidri	0.88339222614841	0.282464664310954	0.551457597173145	0.945671378091873	0.979240282685512	NA	NA	NA	NA	NA
lachancea kluyveri	0.893823173193379	0.793903916027453	0.157852240613646	0.936415018167138	0.992531287848203	NA	NA	NA	NA	NA
lachancea mirantina	0.926438771094764	NA	0.315664214625703	0.964950237992211	0.987234963219386	NA	NA	NA	NA	NA
lachancea waltii	0.816353591160221	NA	0.523314917127072	0.95646408839779	0.992486187845304	NA	NA	NA	0.616795580110497	NA
candida salmanticensis	0.975389069851611	0.708288092652913	0.186572566051393	0.954759319580166	0.992037640246109	NA	NA	NA	NA	NA
lachancea quebecensis	0.704576043068641	0.83378196500673	0.512561686855092	0.933378196500673	0.985868102288022	NA	NA	NA	NA	NA
lachancea thermotolerans	0.921012767799178	0.869508764336724	0.657866262713698	0.956286518069682	0.990911058212508	NA	NA	NA	NA	NA
lachancea dasiensis	0.611277873070326	0.702830188679245	0.32032590051458	0.96483704974271	0.984562607204117	NA	NA	NA	NA	NA
lachancea nothofagi	0.47548815953469	0.785625259659327	0.115081013710012	0.961778147071043	0.98026589115081	NA	NA	NA	NA	NA
lachancea meyersii	0.932598558711318	0.669987282746927	0.416490038151759	0.958456973293769	0.991733785502331	NA	NA	NA	NA	NA
lachancea lanzarotensis	0.86790293040293	0.746565934065934	0.347298534798535	0.961767399267399	0.986721611721612	NA	NA	NA	NA	NA
lachancea fantastica	0.755485232067511	0.909493670886076	0.24831223628692	0.967510548523207	0.989873417721519	NA	NA	NA	NA	NA
candida glabrata	0.945529290853032	NA	0.2224049331963	0.979650565262076	0.991161356628983	NA	NA	NA	NA	0.743473792394656
nakaseomyces bracarensis	0.93061961098857	NA	0.242430318828955	0.976137958692601	0.986966111890916	NA	NA	NA	NA	0.747343092039302
nakaseomyces delphensis	0.889098137685708	NA	0.432726511822557	0.973843900397573	0.995396526469973	NA	NA	NA	NA	0.733417032852061
diddensiella caesifluorescens	0.948998801985282	0.631011466712305	0.0501454732158138	0.599863084032175	0.991956186890296	NA	NA	NA	0.106623309943522	NA
nakaseomyces nivariensis	0.965524275805794	NA	0.420032639738882	0.976948184414525	0.990208078335373	NA	NA	NA	NA	0.656670746634027
kazachstania martiniae	0.905875417567302	NA	0.696207506386323	0.548437807034781	0.987030850854785	NA	NA	NA	0.976419728826882	0.64983297307919
kazachstania intestinalis	0.948619139370585	NA	0.513166345536288	0.979019481909655	0.785698993791479	NA	NA	NA	0.677585099550417	0.996574609291372
